"name","distance_unit","reference_ratio","matched_regions","fitted_regions"
"ago_fb_2025","m",0.996731394961406,163,163
"bdi_fb_2025","m",0.997456242765375,133,133
"ben_fb_2025","m",0.995066554455086,78,78
"bfa_fb_2025","m",0.999010902077497,45,45
"bwa_fb_2025","m",0.998277580258286,30,30
"caf_fb_2025","m",1.00010194030476,51,51
"civ_fb_2025","m",0.997621545775355,33,33
"cmr_fb_2025","m",0.996885547598773,58,58
"com_fb_2025","m",0.99990144674142,3,3
"cpv_fb_2025","m",0.997489520895195,22,22
"dji_fb_2025","m",0.997355667588613,21,21
"dza_fb_2025","m",1.00177969300335,1504,1504
"egy_fb_2025","m",0.997519066660594,333,333
"eri_fb_2025","m",0.999467921408003,50,50
"eth_fb_2025","m",0.997624061500205,79,79
"gab_fb_2025","m",0.997527563625845,37,37
"gha_fb_2025","m",0.99677737355793,260,260
"gin_fb_2025","m",0.999335545233092,34,34
"gmb_fb_2025","m",1.00104095413214,37,37
"gnb_fb_2025","m",0.999332237907583,37,37
"gnq_fb_2025","m",0.998466567858717,32,32
"ken_fb_2025","m",0.998673887933151,300,300
"lbr_fb_2025","m",0.998462454236403,66,66
"lby_fb_2025","m",1.00062415018345,22,22
"lso_fb_2025","m",0.999072137511397,10,10
"mar_fb_2025","m",0.999183384924648,54,54
"mdg_fb_2025","m",0.996413204901132,22,22
"mli_fb_2025","m",0.999135793621511,50,50
"moz_fb_2025","m",0.997055444498229,129,129
"mrt_fb_2025","m",0.99952516364844,44,44
"mus_fb_2025","m",0.997381368004919,11,11
"mwi_fb_2025","m",0.995754409240802,254,254
"myt_fb_2025","m",0.99654946423848,17,17
"nam_fb_2025","m",0.997245496309864,107,107
"ner_fb_2025","m",1.00036189846738,36,36
"nga_fb_2025","m",0.997166526352207,775,775
"rwa_fb_2025","m",0.998367885024358,30,30
"sen_fb_2025","m",0.999286169186542,45,45
"sle_fb_2025","m",0.998335478362724,14,14
"ssd_fb_2025","m",0.998325260440425,45,45
"stp_fb_2025","m",0.996192250175196,7,7
"swz_fb_2025","m",0.997979478500324,55,55
"syc_fb_2025","m",0.99659282956853,26,26
"tcd_fb_2025","m",0.996946197937107,55,55
"tgo_fb_2025","m",0.994994391605334,40,40
"tun_fb_2025","m",0.998827307300436,264,264
"tza_fb_2025","m",0.998533414095653,178,178
"uga_fb_2025","m",0.997986681479064,166,166
"zaf_fb_2025","m",0.999043612184857,52,52
"zmb_fb_2025","m",0.998451793728313,115,115
"zwe_fb_2025","m",0.998183433614183,91,91
