"name","country","date_start","date_end","n","type","sampling_scheme","censoring","aggregation","publication"
"ago_fb_2025","AGO","2024-07-29","2025-06-16",397930016.952157,"facebook","Facebook Activity Space Maps users with location services enabled; daytime mobility aggregated from 0.05 degree tiles to administrative regions","<10 trip count in each tile censored to NA","admin_2",NA
"bdi_fb_2025","BDI","2024-07-29","2025-06-16",30274131.0814965,"facebook","Facebook Activity Space Maps users with location services enabled; daytime mobility aggregated from 0.05 degree tiles to administrative regions","<10 trip count in each tile censored to NA","admin_2",NA
"ben_fb_2025","BEN","2024-07-29","2025-06-16",79937165.8019909,"facebook","Facebook Activity Space Maps users with location services enabled; daytime mobility aggregated from 0.05 degree tiles to administrative regions","<10 trip count in each tile censored to NA","admin_2",NA
"bfa_fb_2025","BFA","2024-07-29","2025-06-16",114949928.791995,"facebook","Facebook Activity Space Maps users with location services enabled; daytime mobility aggregated from 0.05 degree tiles to administrative regions","<10 trip count in each tile censored to NA","admin_2",NA
"bwa_fb_2025","BWA","2024-07-29","2025-06-16",28495225.1044652,"facebook","Facebook Activity Space Maps users with location services enabled; daytime mobility aggregated from 0.05 degree tiles to administrative regions","<10 trip count in each tile censored to NA","admin_2",NA
"caf_fb_2025","CAF","2024-07-29","2025-06-16",14877223.4391914,"facebook","Facebook Activity Space Maps users with location services enabled; daytime mobility aggregated from 0.05 degree tiles to administrative regions","<10 trip count in each tile censored to NA","admin_2",NA
"civ_fb_2025","CIV","2024-07-29","2025-06-16",213537028.929983,"facebook","Facebook Activity Space Maps users with location services enabled; daytime mobility aggregated from 0.05 degree tiles to administrative regions","<10 trip count in each tile censored to NA","admin_2",NA
"cmr_fb_2025","CMR","2024-07-29","2025-06-16",208291639.045356,"facebook","Facebook Activity Space Maps users with location services enabled; daytime mobility aggregated from 0.05 degree tiles to administrative regions","<10 trip count in each tile censored to NA","admin_2",NA
"com_fb_2025","COM","2024-07-29","2025-06-16",8040488.56947073,"facebook","Facebook Activity Space Maps users with location services enabled; daytime mobility aggregated from 0.05 degree tiles to administrative regions","<10 trip count in each tile censored to NA","admin_1",NA
"cpv_fb_2025","CPV","2024-07-29","2025-06-16",8123188.12035638,"facebook","Facebook Activity Space Maps users with location services enabled; daytime mobility aggregated from 0.05 degree tiles to administrative regions","<10 trip count in each tile censored to NA","admin_1",NA
