"","chasefu","chibombo","chilanga","chililabombwe","chingola","chirundu","chongwe","kabwe","kafue","kalulushi","kazungula","kitwe","livingstone","luanshya","lundazi","lusaka","masaiti","mazabuka","ndola"
"chasefu",187657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9107,NA,NA,NA,NA
"chibombo",NA,3532868,NA,NA,NA,NA,77701,NA,11423,NA,NA,NA,NA,NA,NA,896436,NA,NA,NA
"chilanga",NA,NA,2065901,NA,NA,NA,NA,NA,495,NA,NA,NA,NA,NA,NA,443952,NA,NA,NA
"chililabombwe",NA,NA,NA,1077993,11092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chingola",NA,NA,NA,3993,2334519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chirundu",NA,NA,NA,NA,NA,498131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chongwe",NA,78174,NA,NA,NA,NA,7043707,NA,48953,NA,NA,NA,NA,NA,NA,1589122,NA,NA,NA
"kabwe",NA,NA,NA,NA,NA,NA,NA,2987289,NA,NA,NA,NA,NA,NA,NA,2956,NA,NA,NA
"kafue",NA,9167,NA,NA,NA,NA,33381,NA,6216973,NA,NA,NA,NA,NA,NA,1552277,NA,NA,NA
"kalulushi",NA,NA,NA,NA,NA,NA,NA,NA,NA,352082,NA,32823,NA,NA,NA,NA,NA,NA,NA
"kazungula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,444564,NA,2415,NA,NA,NA,NA,NA,NA
"kitwe",NA,NA,NA,NA,NA,NA,NA,NA,NA,33842,NA,10670205,NA,NA,NA,NA,NA,NA,33220
"livingstone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2792636,NA,NA,NA,NA,NA,NA
"luanshya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1406050,NA,NA,NA,NA,10642
"lundazi",7953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48130,NA,NA,NA,NA
"lusaka",NA,915131,446795,NA,NA,280,1648099,6617,1576627,NA,NA,NA,NA,NA,NA,36939389,NA,407,1724
"masaiti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86195,NA,3887
"mazabuka",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,918354,NA
"ndola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27108,NA,10767,NA,NA,NA,NA,7782702
